district,school,schtype,adminyear,bookletnumber,sasid,grade,stugrade,lastname,firstname,mi,gender,race_off,dob,yrsinmass,yrsinmass_num,yrsinsch,yrsindis,ever_ell,highneeds,freelunch_off,title1_off,lep_off,lepflep_off,flep_off,sped_off,plan504_off,firstlanguage,natureofdis,levelofneed,spedplacement,nclb_choice,octenr,conenr_sch,conenr_dis,conenr_sta,access_part,ealt,ecomplexity,eteststat,wptopdev,wpcompconv,eitem1,eitem2,eitem3,eitem4,eitem5,eitem6,eitem7,eitem8,eitem9,eitem10,eitem11,eitem12,eitem13,eitem14,eitem15,eitem16,eitem17,eitem18,eitem19,eitem20,eitem21,eitem22,eitem23,eitem24,eitem25,eitem26,eitem27,eitem28,eitem29,eitem30,eitem31,eitem32,eitem33,eitem34,eitem35,eitem36,eitem37,eitem38,eitem39,eitem40,eitem41,eitem42,erawsc,emcpts,eorpts,escaleds,eperflev,eperf2,ecpi,enumin,eassess,esgp,amendela,malt,mcomplexity,mteststat,mitem1,mitem2,mitem3,mitem4,mitem5,mitem6,mitem7,mitem8,mitem9,mitem10,mitem11,mitem12,mitem13,mitem14,mitem15,mitem16,mitem17,mitem18,mitem19,mitem20,mitem21,mitem22,mitem23,mitem24,mitem25,mitem26,mitem27,mitem28,mitem29,mitem30,mitem31,mitem32,mitem33,mitem34,mitem35,mitem36,mitem37,mitem38,mitem39,mitem40,mitem41,mitem42,mrawsc,mmcpts,morpts,mscaleds,mperflev,mperf2,mcpi,mnumin,massess,msgp,amendmat,salt,scomplexity,steststat,scitry,sitem1,sitem2,sitem3,sitem4,sitem5,sitem6,sitem7,sitem8,sitem9,sitem10,sitem11,sitem12,sitem13,sitem14,sitem15,sitem16,sitem17,sitem18,sitem19,sitem20,sitem21,sitem22,sitem23,sitem24,sitem25,sitem26,sitem27,sitem28,sitem29,sitem30,sitem31,sitem32,sitem33,sitem34,sitem35,sitem36,sitem37,sitem38,sitem39,sitem40,sitem41,sitem42,sitem43,sitem44,sitem45,srawsc,smcpts,sorpts,sscaleds,sperflev,sperf2,scpi,snumin,sassess,amendsci,ela_cd,math_cd,sci_cd,accom_l,accom_c,accom_m,accom_s,accom26l,accom29c,accom30m,datachanged,mcasrowid,grade2010,grade2011,grade2012,escaleds2010,escaleds2011,escaleds2012,mscaleds2010,mscaleds2011,mscaleds2012,esgp2010,esgp2011,esgp2012,msgp2010,msgp2011,msgp2012,summarize
DistrictX,5,ES,2013,427774792,1866389,3,3,Smith,John,M,F,H,7/24/04,4,4,4,4,0,1,0,0,0,0,0,1,0,267,11,4,40, ,1, , , , , , ,T, , ,+,+,+,+,A,A,+,A,C,A,3,+,+,+,+,+,C,1,+,+,+,+,-,1,+,+,-,+,+,+,+,-,+,+,1,2,-,-,-,-,+, ,31,23,8,232,NI,NI,75,1,1, , , , ,T,+,+,1,A,B,+,+,1,+,+,A,1,0,+,+,D,B,0,+,-,-,+,1,0,-,2,-,+,+,-,-,1,0,-,-,-, , , , , , ,19,12,7,220,NI,NI,50,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
DistrictX,5,ES,2013,630778743,1491765,3,3,Smith,John,R,F,W,12/3/03,4,4, , ,0,1,1,0,0,0,0,0,0,267, , ,0, ,0, , , , , , ,T, , ,+,+,+,+,+,+,+,D,+,+,2,+,+,+,+,+,+,1,+,+,+,+,+,2,+,+,+,-,+,+,+,+,+,+,1,2,+,+,+,+,+, ,42,34,8,252,P,P,100,1,1, , , , ,T,+,+,1,+,+,+,+,2,+,+,+,1,0,+,+,A,+,2,+,-,+,+,1,1,+,2,+,+,+,-,+,1,2,+,+,+, , , , , , ,36,23,13,262,A,A,100,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
DistrictX,5,ES,2013,564324523,1889694,3,3,Smith,John,C,M,W,2/2/03,5+,5,5,5,0,1,0,0,0,0,0,1,0,267,3,2,20, ,1, , , , , , ,T, , ,+,D,+,+,B,+,+,A,+,+,2,+,C,+,C,+,A,2,+,+,+,+,+,1,+,+,+,+,+,+,-,+,+,+,1,2,+,+,-,+,-, ,35,27,8,238,NI,NI,75,1,1, , , , ,T,+,D,1,A,+,+,D,1,+,+,+,1,0,+,+,A,D,2,+,+,+,-,1,1,-,2,-,-,+,+,+,1,0,+,+,+, , , , , , ,27,17,10,238,NI,NI,75,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
DistrictX,5,ES,2013,781881465,1241930,3,3,Smith,John,D,M,H,2/2/04,4,4,3,4,1,1,1,0,0,1,1,1,0,7,11,3,40, ,1, , , , , , ,T, , ,+,+,+,+,B,C,D,+,+,+,1,+,+,A,A,+,+,1,-,+,-,-,+,0,-,-,+,+,+,-,-,+,-,+,1,2,+,-,-,+,+, ,26,21,5,226,NI,NI,50,1,1, , , , ,T,+,+,1,+,C,+,+,0,+,C,A,1,0,+,+,C,+,1,-,+,-,+,1,0,+,0,+,-,+,+,-,1,1,-,+,+, , , , , , ,23,17,6,228,NI,NI,50,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
DistrictX,5,ES,2013,791152059,1747558,3,3,Smith,John,A,F,W,7/9/04,4,4,4,4,0,0,0,1,0,0,0,0,0,267, , ,0, ,1, , , , , , ,T, , ,+,+,+,+,+,+,+,+,+,+,1,+,+,+,+,+,+,1,+,+,+,+,+,2,+,+,+,-,+,+,+,+,+,+,2,1,+,+,-,+,+, ,41,34,7,250,P,P,100,1,1, , , , ,T,+,+,1,+,+,+,+,2,+,+,C,0,0,+,B,+,+,2,+,-,+,+,1,1,+,2,+,+,+,+,+,1,2,+,+,+, , , , , , ,35,23,12,260,A,A,100,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
DistrictX,5,ES,2013,594999175,1023064,3,3,Smith,John,M,F,W,11/24/03,4,4,4,4,0,1,1,0,0,0,0,0,0,267, , ,0, ,1, , , , , , ,T, , ,+,+,+,+,+,A,+,+,+,+,1,+,+,+,+,+,+,2,-,+,+,-,+,2,+,+,+,+,+,+,+,+,-,+,2,2,+,+,+,+,+, ,41,32,9,250,P,P,100,1,1, , , , ,T,+,+,1,+,+,+,+,2,+,+,+,1,0,A,C,C,+,2,+,+,+,+,1,1,+,2,-,+,+,+,-,1,2,+,+,+, , , , , , ,34,21,13,256,P,P,100,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
DistrictX,5,ES,2013,652736052,1005327,3,3,Smith,John,R,F,B,12/8/03,4,4,4,4,0,1,1,0,0,0,0,0,0,267, , ,0, ,1, , , , , , ,T, , ,+,+,+,+,+,+,+,+,+,+,2,+,+,+,+,+,+,2,-,+,+,+,+,2,+,+,+,-,+,+,-,+,+,+,2,2,+,+,+,+,+, ,43,33,10,258,P,P,100,1,1, , , , ,T,+,+,1,B,+,+,+,0,+,+,+,1,0,+,B,C,+,2,+,-,+,+,1,1,+,2,+,-,+,+,+,1,2,+,+,-, , , , , , ,31,20,11,248,P,P,100,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
DistrictX,5,ES,2013,575260577,1586347,3,3,Smith,John,R,M,W,10/4/03,4,4,4,4,0,0,0,0,0,0,0,0,0,267, , ,0, ,1, , , , , , ,T, , ,+,+,+,+,A,+,+,+,+,+,3,+,+,+,+,+,+,1,+,+,+,+,+,2,+,+,+,-,+,+,+,+,+,+,2,2,+,+,+,+,+, ,44,34,10,262,A,A,100,1,1, , , , ,T,+,C,0,+,+,+,+,0,+,+,C,1,0,+,A,+,+,2,+,+,+,+,1,1,-,2,+,+,+,+,-,1,0,+,+,+, , , , , , ,29,21,8,244,P,P,100,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
DistrictX,5,ES,2013,542644178,1501880,3,3,Smith,John,T,F,B,9/8/03,4,4,4,4,0,1,1,1,0,0,0,0,0,225, , ,0, ,1, , , , , , ,T, , ,+,D,+,+,+,+,+,+,+,+,3,A,+,+,+,+,+,2,+,+,+,+,+,1,+,+,-,-,+,+,-,+,+,+,1,2,-,-,+,-,+, ,37,28,9,240,P,P,100,1,1, , , , ,T,+,+,1,B,C,+,A,1,+,+,+,1,0,+,C,C,+,1,+,-,-,+,0,1,+,2,-,-,+,+,+,0,0,+,+,-, , , , , , ,23,16,7,228,NI,NI,50,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
DistrictX,5,ES,2013,444545189,1930164,3,3,Smith,John,A,M,H,4/27/03,2,2,2,2,1,1,1,0,1,1,0,0,0,7, , ,0, ,1, , , ,1, , ,T, , ,+,+,+,+,A,+,A,+,C,A,3,+,+,+,+,A,A,1,+,+,+,-,+,2,-,+,+,+,+,+,-,+,-,-,2,1,+,+,-,-,+, ,32,23,9,234,NI,NI,75,1,1, , , , ,T,+,+,1,B,+,+,+,0,+,+,+,1,0,+,+,A,+,1,+,+,+,+,1,0,+,0,+,+,+,+,-,1,0,+,+,-, , , , , , ,27,22,5,238,NI,NI,75,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
DistrictX,5,ES,2013,411355564,1811886,3,3,Smith,John,R,F,W,3/22/04,4,4,4,4,0,0,0,0,0,0,0,0,0,267, , ,0, ,1, , , , , , ,T, , ,C,+,B,+,+,+,+,+,+,+,1,+,+,+,+,+,+,1,-,+,+,+,+,2,+,+,+,-,+,+,-,+,+,+,2,1,+,+,+,+,+, ,38,31,7,242,P,P,100,1,1, , , , ,T,C,+,1,A,+,+,+,0,+,C,+,0,0,A,B,+,+,1,+,+,+,+,1,1,+,2,+,-,+,+,-,1,2,+,+,+, , , , , , ,28,19,9,240,P,P,100,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
DistrictX,5,ES,2013,593810657,1227344,3,3,Smith,John,S,M,W,11/27/03,4,4,4,4,0,0,0,0,0,0,0,0,0,267, , ,0, ,1, , , , , , ,T, , ,C,+,+,+,+,+,A,+,+,+,3,+,+,+,+,+,+,1,-,+,+,-,+,2,+,+,+,+,+,+,-,+,+,+,1,1,+,-,-,+,+, ,37,29,8,240,P,P,100,1,1, , , , ,T,+,+,1,+,+,+,+,0, ,+,+,1,0,+,A,C,+,2,+,-,+,+,1,0,+,2,+,+,+,+,+,1,2,+,+,+, , , , , , ,32,22,10,250,P,P,100,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
DistrictX,5,ES,2013,536490072,1784982,3,3,Smith,John,A,F,H,9/20/03,4,4,4,4,0,0,0,1,0,0,0,0,0,7, , ,0, ,1, , , , , , ,T, , ,+,+,B,+,B,+,+,+,+,+,1,+,+,+,A,+,+,1,-,+,+,+,+,2,+,+,+,+,+,+,+,+,+,+,1,1,+,+,+,-,+, ,37,31,6,240,P,P,100,1,1, , , , ,T,+,+,0,A,+,+,B,1,+,+,+,1,0,+,B,C,+,0,+,-,+,+,1,1,-,1,+,+,+,+,-,1,0,-,-,-, , , , , , ,22,16,6,226,NI,NI,50,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
DistrictX,5,ES,2013,497455905,1498506,3,3,Smith,John,J,F,H,4/13/04,4,4,1,1,0,1,1,1,0,0,0,0,0,267, , ,0, ,1, , , , , , ,T, , ,+,+,+,+,A,B,A,+,+,+,1,C,C,+,+,+,C,1,-,+,-,-,+,2,-,+,+,+,+,+,-,+,+,-,1,0,+,-,+,+,-, ,27,22,5,226,NI,NI,50,1,1, , , , ,T,+,+,1,B,+,+,+,2,+,+,+,1,0,+,A,+,+,0,+,-,+,+,1,1,-,0,+,-,+,+,-,0,0,+,-,+, , , , , , ,25,19,6,234,NI,NI,75,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
DistrictX,5,ES,2013,459704436,1400281,3,3,Smith,John,E,F,W,4/20/04,4,4,4,4,0,1,1,1,0,0,0,0,0,267, , ,0, ,1, , , , , , ,T, , ,+,+,+,+,+,+,D,+,+,+,2,C,C,+,+,+,+,1,+,-,-,+,-,2,-,+,+,-,+,+,-,+,+,+,0,2,+,-,-,+,-, ,31,24,7,232,NI,NI,75,1,1, , , , ,T,+,+,1,+,A,+,+,2,+,C,+,1,0,+,C,C,+,2,+,-,+,+,1,0,+,2,-,-,+,+,+,1,2,-,+,-, , , , , , ,29,17,12,244,P,P,100,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
DistrictX,5,ES,2013,425338196,1235577,3,3,Smith,John,B,M,H,2/25/04,4,4,4,4,1,1,1,0,0,1,1,0,0,7, , ,0, ,1, , , ,1, , ,T, , ,+,+,A,+,+,+,C,D,+,+,3,A,B,+,A,C,A,1,+,+,-,-,+,1,+,+,+,-,+,-,-,+,+,+,1,1,+,+,+,-,+, ,29,22,7,230,NI,NI,75,1,1, , , , ,T,+,+,1,D,C,+,+,0,+,+,+,1,0,+,C,C,+,2,+,+,+,+,1,1,+,2,+,+,+,+,+,1,0,+,-,+, , , , , , ,30,21,9,246,P,P,100,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
DistrictX,5,ES,2013,407345395,1129564,3,3,Smith,John,A,F,H,8/18/04,4,4,4,4,1,1,1,1,1,1,0,0,0,7, , ,0, ,1, , , ,1, , ,T, , ,+,+,+,+,+,A,+,A,+,B,1,C,+,+,D,+,D,1,-,+,+,-,+,2,+,+,+,+,-,+,-,-,-,-,1,2,+,-,-,-,-, ,26,19,7,226,NI,NI,50,1,1, , , , ,T,+,+,1,A,+,+,B,1,+,C,C,1,0,+,A,+,B,2,-,-,+,+,1,1,-,0,-,-,+,+,+,1,0,-,+,-, , , , , , ,21,13,8,224,NI,NI,50,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
DistrictX,5,ES,2013,741935698,1310756,3,3,Smith,John,J,M,W,3/4/04,1,1,1,1,0,1,0,0,0,0,0,1,0,267,11,4,40, ,1, , , , ,1,EP,T, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PRG,W,100,1,1, , ,1,EP,T, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PRG,W,100,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
DistrictX,5,ES,2013,676499395,1209171,3,3,Smith,John,E,M,W,1/12/04,4,4,3,4,0,1,0,0,0,0,0,1,0,267,7,1,20, ,1, , , , , , ,T, , ,+,+,+,+,+,+,+,D,+,+,2,+,+,+,+,+,+,1,-,+,+,-,+,1,+,+,+,+,+,+,+,+,+,+,2,2,+,+,+,+,+, ,41,33,8,250,P,P,100,1,1, , , , ,T,+,+,1,+,+,+,+,2,+,+,+,1,1,+,+,+,+,2,+,+,+,+,1,1,+,2,+,+,+,+,+,1,2,+,+,-, , , , , , ,39,25,14,276,A,A,100,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
